№ заказа,Дата поступления заказа,Название товара в Kaspi Магазине,Название в системе продавца,Артикул,Сумма,Категория,Адрес самовывоза/доставки,Дата изменения статуса,Статус,Причина отмены,Способ оплаты,Способ доставки,Курьерская служба,Принял,Выдал,Отменил,Оценка покупателя,Отзыв покупателя,Дата публикации отзыва,Оформил,Количество,Стоимость доставки для покупателя,Стоимость доставки для продавца,Компенсация за доставку,Требуется подписание,Плановая дата передачи курьеру,Фактическая дата комплектации,Склад передачи КД
981669356,30.06.2026,Портплед 30186887_250711942 полиэстер 50 л,Чехол для одежды,118697087_281433030,4489,Дорожные сумки,г. Астана,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Доставка,Kaspi Логистика,,,,,,,,1,995.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981662573,30.06.2026,Рулон LOVE 500 шт,наклейки рулон love,136964175_179841652,476,Наклейки для творчества,г. Кокшетау,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981662720,30.06.2026,Пароочиститель Jibekki VKA-1 белый,пароочиститель Jibekki,364840260,1000,Пароочистители,"г. Курминское, село Курминское, улица Абая 12 ()",30.06.2026,Принят партнером,,Безналичная оплата,Самовывоз,,,,,,,,,1,0.0,,0.0,Не требуется,,,
981661745,30.06.2026,Разветвитель шнуровой 30381728 черный,Разветвитель шнуровой,150008308_4184412333,3449,Разветвители прикуривателя,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981660744,30.06.2026,Light Звездочки 776930800 3x3 см,неоновые звезды разноцветные,134191782_09880924,780,Интерьерные наклейки,г. Тараз,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981655952,30.06.2026,Супермаркет Посуды валик для теста 5678765 1 шт,кондитерский валик,103965371_989800,620,Кондитерские аксессуары,г. Павлодар,30.06.2026,Ожидает передачи курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,0.0,Не требуется,01.07.2026,,30397554_PP2
981651831,30.06.2026,"Часы электронные 16157146_685_ часы будильник, пластик",часы электронные белые,138955082_4545612336,906,Настольные часы,г. Деркуль,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981638081,30.06.2026,Игрушка Самурай 4866694,набор самураи 2 шт,130946716_657365729,500,Прочие аксессуары для автомобиля,г. Талдыкорган,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981635935,30.06.2026,"Рейлинг JKBVV01-60 1 шт, нержавеющая сталь",Рейлинг,114161595_264725129,6999,Держатели и крючки для ванной,г. Уральск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981635617,30.06.2026,Kitchen & Dining форма для люля-кебаб Kebab Press - Grey 1 шт,форма для люля,123054648_123123,3741,Аксессуары для готовки,г. Уральск,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981632454,30.06.2026,"Подстаканник для коляски 875610, черный",подстаканник в коляску,112424948_213123123312,1294,Аксессуары для колясок,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981631987,30.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,3548,Посуда и формы для выпечки и запекания,г. Астана,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,2,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981625828,30.06.2026,Щетка 0073010 1 шт,щетка от пыли для авто,303508190,1600,Принадлежности для мойки автомобилей,г. Алматы,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
981621179,30.06.2026,Монетница 01 пластик черный,монетница черная,131131561_689458574,1695,Кошельки и визитницы,г. Караганда,30.06.2026,Ожидает передачи курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,0.0,,Не требуется,01.07.2026,,30397554_PP2
